candidate_id,type_index,type_code
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m3_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m3_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m3_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m3_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m5_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m5_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m5_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m5_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m6_c0,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m12_c0,0,T191
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m12_c1,0,T130
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m12_c2,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m12_c3,0,T081
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m12_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m13_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m13_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m13_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m13_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m15_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m15_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m15_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m15_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m23_c0,0,T191
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m23_c1,0,T130
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m23_c2,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m23_c3,0,T081
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m23_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m24_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m24_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m24_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m24_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m26_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m26_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m26_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m26_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m31_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m31_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m31_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m31_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m33_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m33_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m33_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m33_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m34_c0,0,T169
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m34_c1,0,T078
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m34_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m34_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m35_c0,0,T061
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m36_c0,0,T114
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m36_c0,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m36_c1,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m41_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m41_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m41_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m41_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m43_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m43_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m43_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m43_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m44_c0,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m50_c0,0,T191
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m50_c1,0,T130
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m50_c2,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m50_c3,0,T081
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m50_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m51_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m51_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m51_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m51_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m55_c0,0,T191
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m55_c1,0,T130
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m55_c2,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m55_c3,0,T081
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m55_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m56_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m56_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m56_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m56_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m64_c0,0,T191
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m64_c1,0,T130
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m64_c2,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m64_c3,0,T081
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m64_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m65_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m65_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m65_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m65_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m69_c0,0,T191
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m69_c1,0,T130
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m69_c2,0,T028
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m69_c3,0,T081
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m69_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m70_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m70_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m70_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m70_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m75_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m75_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m75_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m75_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m77_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m77_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m77_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m77_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m78_c0,0,T169
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m78_c1,0,T078
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m78_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m78_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m79_c0,0,T061
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m84_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m84_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m84_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m84_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m89_c0,0,T041
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m90_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m90_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m90_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m90_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m91_c0,0,T047
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m91_c1,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m91_c2,0,T079
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m91_c3,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m91_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m93_c0,0,T047
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m93_c1,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m93_c2,0,T079
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m93_c3,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m93_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m97_c0,0,T047
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m97_c1,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m97_c2,0,T079
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m97_c3,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m97_c4,0,T170
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m98_c0,0,T080
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m98_c1,0,T079
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m98_c2,0,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m98_c3,0,T081
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m100_c0,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m100_c1,0,T029
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m100_c2,0,T109
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m100_c2,1,T121
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m102_c0,0,T029
