QuestionId,Question_Text,Question_Text_English,QuestionnaireId,Question_Category
M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,How helpful: How helpful did you find the module content?,ME1,Degree
M003_01,Fragenbeantwortung: Wurden all Ihre Fragen zum Thema ausreichend beantwortet?,Answering questions: Were all your questions about the topic answered adequately?,ME1,Degree
M004_01,Verständnis: Wie gut haben Sie den Stoff der einzelnen Lektionen verstanden?,Understanding: How well did you understand the material in the individual lessons?,ME1,Degree
M005,Medienart,Media type,ME1,Preference
M006_01,Gesamterfahrung: Wie würden Sie die Gesamterfahrung mit den zur Verfügung gestellten Inhalten in diesem Modul bewerten?,Overall experience: How would you rate your overall experience with the content provided in this module?,ME1,Quality
M007_01,Freitext positiv: Hier können Sie Ihre Antwort verfassen,Positive free-text response: You can enter your answer here,ME1,Preference
M008_01,Freitext Wünsche: Hier können Sie Ihre Antwort verfassen,Free-text suggestions: You can enter your answer here,ME1,Preference
M010_01,neue Erkenntnisse: Haben Sie neue Erkenntnisse und Informationen durch die Bearbeitung des Moduls erhalten?,New insights: Did you gain new insights and information by completing the module?,ME1,Degree
SU01_01,"System Usability Scale (SUS): Ich denke, ich würde die Lernplattform gerne häufiger benutzen.",System Usability Scale (SUS): I think that I would like to use the learning platform frequently.,SUS,Agreement
SU01_02,System Usability Scale (SUS): Ich finde die Lernplattform unnötig komplex. (umgepolt),System Usability Scale (SUS): I found the learning platform unnecessarily complex. (reverse-scored),SUS,Agreement
SU01_03,"System Usability Scale (SUS): Ich finde, die Lernplattform ist einfach zu benutzen.",System Usability Scale (SUS): I thought the learning platform was easy to use.,SUS,Agreement
SU01_04,"System Usability Scale (SUS): Ich denke, ich würde die Unterstützung einer technisch versierten Person benötigen, um die Lernplattform benutzen zu können. (umgepolt)",System Usability Scale (SUS): I think that I would need the support of a technically knowledgeable person to be able to use the learning platform. (reverse-scored),SUS,Agreement
SU01_05,"System Usability Scale (SUS): Ich finde, die verschiedenen Funktionen in diesem Programm sind gut integriert.",System Usability Scale (SUS): I found the various functions in this program were well integrated.,SUS,Agreement
SU01_06,"System Usability Scale (SUS): Ich denke, es gibt zu viele Inkonsistenzen auf der Lernplattform. (umgepolt)",System Usability Scale (SUS): I thought there was too much inconsistency in the learning platform. (reverse-scored),SUS,Agreement
SU01_07,"System Usability Scale (SUS): Ich könnte mir vorstellen, dass die meisten Personen sehr schnell lernen würden mit diesem Programm umzugehen.",System Usability Scale (SUS): I would imagine that most people would learn to use this program very quickly.,SUS,Agreement
SU01_08,System Usability Scale (SUS): Ich fand die Lernplattform sehr umständlich zu nutzen. (umgepolt),System Usability Scale (SUS): I found the learning platform very cumbersome to use. (reverse-scored),SUS,Agreement
SU01_09,System Usability Scale (SUS): Ich fühlte mich sehr sicher bei der Benutzung der Lernplattform.,System Usability Scale (SUS): I felt very confident using the learning platform.,SUS,Agreement
SU01_10,"System Usability Scale (SUS): Ich musste eine Menge lernen, bevor ich mit der Lernplattform zurechtkam. (umgepolt)",System Usability Scale (SUS): I needed to learn a lot before I could get going with the learning platform. (reverse-scored),SUS,Agreement
UM01,A1,A1,uMARS,Quality
UM02,A2,A2,uMARS,Quality
UM03,A3,A3,uMARS,Quality
UM04,A4,A4,uMARS,Quality
UM06,B1,B1,uMARS,Quality
UM07,B2,B2,uMARS,Quality
UM08,B3,B3,uMARS,Quality
UM09,C1,C1,uMARS,Quality
UM10,C2,C2,uMARS,Quality
UM11,C3,C3,uMARS,Quality
UM12,D1,D1,uMARS,Quality
UM13,D2,D2,uMARS,Quality
UM14,D3,D3,uMARS,Quality
UM15,D4,D4,uMARS,Quality
UM16,E1,E1,uMARS,Recommendation
UM17,E2,E2,uMARS,Frequency
UM18,E3,E3,uMARS,Degree
UM19,E4,E4,uMARS,Quality
UM20,F1,F1,uMARS,Agreement
UM21,F2,F2,uMARS,Agreement
UM22,F3,F3,uMARS,Agreement
UM23,F4,F4,uMARS,Agreement
UM24,F5,F5,uMARS,Agreement
UM25,F6,F6,uMARS,Agreement
UM26_01,F7 Freitext: [01],[NEEDS TRANSLATION] F7 Freitext: [01],uMARS,NEEDS_REVIEW
